backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
odo,42,10.0,10,25,15,router_8,router_12,5,True,,1471.20411251,0.8368804100492877,32.581;83.041;107.731;122.422;137.722;161.692;172.622;186.272;199.923;220.143;262.264;305.963;321.254;340.204;348.894;387.395;405.745;454.636;468.185;496.177;518.826;945.767;962.207;982.397;1021.688;1055.409;1066.599;1099.089;1117.389;1136.279;1160.580;1195.770;1219.921;1259.071;1283.222;1313.662;1353.713;1372.003;1394.673;1427.613;1453.264;1471.204
odo,42,10.0,10,25,16,router_8,router_12,5,True,,1431.61291251,0.8377493300050256,19.440;46.381;79.531;106.682;144.531;163.472;183.692;214.413;223.353;237.232;259.282;281.273;302.213;316.133;350.603;360.923;382.644;425.334;467.025;492.826;547.126;960.957;996.177;1018.167;1036.467;1065.118;1081.308;1102.598;1126.539;1143.939;1165.659;1179.850;1194.070;1223.290;1245.991;1258.711;1282.431;1312.371;1333.522;1357.812;1396.783;1431.613
odo,42,10.0,10,25,17,router_8,router_12,5,True,,1623.78725001,0.8339991504321898,8.580;69.691;118.382;158.283;202.473;221.423;242.363;272.334;349.525;393.926;415.216;447.476;472.967;496.517;508.207;526.928;545.648;551.588;592.029;605.878;624.599;1038.429;1057.379;1075.350;1100.790;1139.941;1182.661;1203.231;1243.802;1275.893;1294.613;1309.553;1333.183;1365.374;1393.814;1414.004;1433.445;1475.855;1514.826;1536.906;1569.096;1623.787
odo,42,10.0,10,25,9,router_11,router_12,1,True,,595.40822501,0.9899408023639905,6.000;19.200;29.401;45.601;77.402;80.402;119.402;126.603;130.803;142.203;146.403;161.403;174.004;185.404;200.404;202.804;208.804;209.404;217.805;218.405;255.605;475.406;476.006;479.606;480.806;490.406;503.606;509.606;522.207;537.207;543.207;543.807;545.607;546.207;548.607;549.207;553.407;560.608;568.408;587.608;592.408;595.408
odo,42,10.0,10,25,10,router_11,router_12,1,True,,551.60731251,0.9899408023639905,0.600;13.800;21.000;24.601;29.401;36.601;41.401;67.801;69.601;81.002;92.402;93.602;102.002;114.602;116.402;120.002;120.603;121.803;123.003;162.003;166.203;372.804;387.804;389.004;390.204;393.204;402.804;410.004;413.004;417.805;437.605;452.605;455.005;460.405;486.206;503.606;539.007;540.207;542.607;546.207;551.007;551.607
odo,42,10.0,10,25,11,router_11,router_12,1,True,,536.60700001,0.9899408023639905,1.800;20.400;32.401;43.801;45.001;49.801;67.801;81.002;91.202;95.402;102.602;103.202;105.002;115.202;121.803;129.003;141.603;147.003;156.603;168.003;184.804;389.604;390.804;408.804;412.404;417.205;425.605;428.605;434.605;452.005;461.005;465.206;476.006;491.006;495.806;506.606;509.006;512.607;525.207;527.607;533.007;536.607
odo,42,10.0,10,25,3,router_13,router_12,5,True,,1296.17270001,0.8408446202566509,19.080;29.340;43.531;69.001;103.472;119.462;138.452;177.743;197.833;225.224;239.414;255.884;278.355;293.325;318.425;338.225;364.415;387.115;400.166;430.266;450.666;870.857;901.747;938.048;948.098;959.318;983.139;990.849;1004.649;1027.239;1051.960;1073.680;1097.650;1107.040;1132.230;1161.780;1183.831;1195.381;1204.681;1246.972;1265.972;1296.173
odo,42,10.0,10,25,4,router_13,router_12,5,True,,1394.34317501,0.8377181739260156,16.440;32.931;56.901;99.981;175.042;199.943;215.233;243.283;257.084;278.324;291.974;316.334;331.514;350.675;367.765;396.356;435.716;456.266;480.237;505.707;522.567;934.897;951.757;977.948;1002.838;1021.598;1056.689;1098.240;1114.290;1142.340;1171.531;1196.251;1207.021;1238.031;1256.001;1276.192;1290.382;1302.582;1319.672;1358.173;1370.373;1394.343
odo,42,10.0,10,25,5,router_13,router_12,5,True,,1459.63418751,0.8377365045921588,13.080;49.801;59.190;75.241;103.131;150.352;174.072;186.932;209.772;227.323;246.213;264.603;303.004;336.895;368.695;385.435;401.545;426.266;456.056;503.247;537.898;953.288;978.759;992.949;1029.179;1072.070;1097.070;1184.791;1220.012;1239.482;1264.952;1279.352;1293.321;1314.112;1325.302;1347.292;1365.443;1386.413;1405.483;1417.874;1453.844;1459.634
odo,42,10.0,10,25,18,router_16,router_12,3,True,,1065.93185001,0.911813857195009,13.710;35.151;49.091;56.811;71.211;82.611;91.761;100.912;124.822;142.512;151.422;173.533;184.933;216.044;237.484;248.894;261.044;298.235;312.555;333.465;342.376;658.786;682.476;691.986;747.927;774.397;800.048;803.558;826.498;841.938;877.409;904.849;914.289;926.729;932.040;945.230;960.300;982.200;997.111;1015.021;1039.531;1065.932
